created_at,text
12/6/2021 7:42,Philando Castile #BlackLivesMatter
12/6/2021 7:41,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 7:41,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
12/6/2021 7:41,"RT @OneInAnARMY: ARMY
You #MatchedAMillion💜

It's really amazing to see so many of you coming together to support #BlackLivesMatter. Thank…"
12/6/2021 7:40,"RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. 

Shayla discusses the importance of representing @Blklivesmatter for #MyCause…"
12/6/2021 7:40,"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help Us…"
12/6/2021 7:39,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
12/6/2021 7:39,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:39,"RT @meiklwagner: Breakout - Swing Out Sister, 1987, Mercury Records.
On YouTube: https://t.co/tJnf5rGIhQ

#FridaysForFuture #Berlin👑 #cinem…"
12/6/2021 7:38,RT @LordLivi: Alien Artifact NFT first look https://t.co/WvCQbjR0wz @opensea #icantbreathe #GeorgeFloyd #BlackLivesMatter @emiliaclarke @Mi…
12/6/2021 7:36,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:36,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:34,RT @chilternbear: Animals in #Chicago attack a black bus driver for fun…do #BlackLivesMatter to black thugs? …#America
12/6/2021 7:33,3/3) Lots of elite Indian liberals pretended to support #BlackLivesMatter when #GeorgeFloyd was killed in the US. T… https://t.co/xEUWtVSkFt
12/6/2021 7:32,"@KeshaRam @KeshaRam please don't drag #BlackLivesMatter into something that you have no clue about, or are you disr… https://t.co/kk1AhnCXew"
12/6/2021 7:32,"Sat May 30 2020 Kansas City, Missouri - Police pepper spray and arrest protester holding sign WATCH:… https://t.co/0Q6yrJsKx2"
12/6/2021 7:32,"RT @DeepHydrangeas: This Twitter user has #BPD.

This Twitter user supports:
- #LGBTQA+ community
- #blacklivesmatter
- #Metoomovement 
- #…"
12/6/2021 7:30,RT @abboreed: one of my kids friends at school had unexpectedly lost their dad. if you can’t donate rt pls! #BlackLivesMatter #supportblack…
12/6/2021 7:29,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yK…"
12/6/2021 7:29,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/Uoi7eNkUmX"
12/6/2021 7:28,RT @Elelta5: Young men and boys in Tigray are being indiscriminately EXECUTED by Ethiopian and Eritrean soldiers so that they may not join…
12/6/2021 7:28,U.S. Accuses Whole Foods of Banning Black Lives Matter Masks - Bloomberg @SocialistAlt    🚨 Vote ‘NO’ immediately t… https://t.co/JG0BjU08iK
12/6/2021 7:27,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 7:27,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/KrLyhhUkpc"
12/6/2021 7:27,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/3z8oogx3hA"
12/6/2021 7:26,https://t.co/poOmb1Q5j9 The Impossible Burger: Inside the strange science of the synthetic meat that ‘bleeds’… https://t.co/5nqTOun3jI
12/6/2021 7:26,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/qtBuyZ2MmP"
12/6/2021 7:26,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:25,Randy Nelson   #SayTheirNames #BlackLivesMatter
12/6/2021 7:25,"If you're reading this, remember that #BlackLivesMatter"
12/6/2021 7:25,"RT @meiklwagner: Everybody Wants To Rule The World ( Extended) - Tears For Fears, 1985, Mercury Records.
On YouTube: https://t.co/OpkEIDkNw…"
12/6/2021 7:25,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/z1YJPoyMNk"
12/6/2021 7:25,Hunger Continues to Plague Americans. Here’s Why—and What to Do About It. | Civil Eats @SocialistAlt    🚨 Vote ‘NO’… https://t.co/ZQLzfed1tU
12/6/2021 7:25,"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help Us…"
12/6/2021 7:25,The Waukesha #BlackLivesMatter terrorist’s bail was set at one thousand dollars. He intentionally murdered people.… https://t.co/ei3wz4Lfrw
12/6/2021 7:24,"RT @WaleWinters: If you’re seeing this, all I have to say is God is watching you. So stay positive, keep the faith and remain hopeful becau…"
12/6/2021 7:24,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/4NkJ7AHzfz"
12/6/2021 7:24,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/QX9pUT0hdT"
12/6/2021 7:23,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/K610lXyvoN"
12/6/2021 7:23,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
